name,extensions,prismIndicator,founder,year
LoomScript,.ls,,,2013
Lua,.lua|.fcgi|.nse|.p8|.pd_lua|.rbxs|.rockspec|.wlua,lua,Roberto Ierusalimschy|Luiz Henrique de Figueiredo,1993
M,.mumps|.m,,Neil Pappalardo,1966
M4,.m4,,Brian Kernighan|Dennis Ritchie,1977
M4Sugar,.m4,,,2003
MATLAB,.matlab|.m,matlab,Cleve Moler,1970s
MAXScript,.ms|.mcr,,John Wainwright,1996
MLIR,.mlir,,Chris Lattner,2019
MQL4,.mq4|.mqh,,MetaQuotes,2005
MQL5,.mq5|.mqh,,MetaQuotes Software Corp.,2010
MTML,.mtml,markup,Tim Berners-Lee,1990
MUF,.muf|.m,,Piaw Na,1995
Macaulay2,.m2,,Daniel Grayson,1993
Makefile,.mak|.d|.make|.mk|.mkfile,makefile,Stuart Feldman,1977
Mako,.mako|.mao,,Benjamin Mako Hill,2006
Marko,.marko,markup,Patrick Steele-Idem,2012
Mask,.mask,markup,Madame Rowley,2012
Mathematica,.mathematica|.cdf|.m|.ma|.mt|.nb|.nbp|.wl|.wlt,,Stephen Wolfram,1988
Max,.maxpat|.maxhelp|.maxproj|.mxt|.pat,,Miller Puckette,1985
Mercury,.m|.moo,,Fergus Henderson|Thomas Conway|Zoltan Somogyi,1995
Metal,.metal,,Mozilla,
MiniD,.minid,,Jarrett Billingsley,1993
Mirah,.druby|.duby|.mirah,,Charles Oliver Nutter,2016
Modelica,.mo,,Hilding Elmqvist,1997
Modula-2,.mod,,Niklaus Wirth,1977 and 1985
Modula-3,.i3|.ig|.m3|.mg,,Luca Cardelli|Greg Nelson,1988
Module Management System,.mms|.mmk,,Siddhartha Errabolu,2005
Monkey,.monkey|.monkey2,monkey,CoffeeScript,2011
Moocode,.moo,,Konrad Zuse,1990
MoonScript,.moon,moonscript,Jeremy Ashkenas,2011
Motorola 68K Assembly,.asm|.i|.inc|.s|.x68,,eight address registers,1979
Myghty,.myt,,,2006
NASL,.nasl|.inc,,NASL,1998
NCL,.ncl,,National Center for Atmospheric Research,1994
NEON,.neon,neon,Pranav Mistry,
NL,.nl,,James Flynn,2002
NSIS,.nsi|.nsh,nsis,Nullsoft,2000
Nearley,.ne|.nearley,,,2014
Nemerle,.n,,JetBrains,2003
NetLinx,.axs|.axi,,,2007
NetLinx+ERB,.axs.erb|.axi.erb,,,
NetLogo,.nlogo,,Uri Wilensky,1999
NewLisp,.nl|.lisp|.lsp,,Lutz Mueller,1991
Nextflow,.nf,,James Strachan,2013
Nginx,.nginxconf|.vhost,nginx,Igor Sysoev,2004
Nim,.nim|.nim.cfg|.nimble|.nimrod|.nims,nim,Andreas Rumpf,2005
Ninja,.ninja,,Ankush Singla,2016
Nit,.nit,,,2007
Nix,.nix,nix,,2003
Nu,.nu,,Tim Burks,2007
NumPy,.numpy|.numpyw|.numsc,,Travis Oliphant,2006
OCaml,.ml|.eliom|.eliomi|.ml4|.mli|.mll|.mly,ocaml,Gérard Huet|Guy Cousineau|Xavier Leroy,1996
ObjDump,.objdump,,,1991
ObjectScript,.cls,,,1997
Objective-C,.m|.h,,Brad Cox,1972
Objective-C++,.mm,,Brad Cox,1972
Objective-J,.j|.sj,,Cappuccino Core Developers and community.,2008
Odin,.odin,,Erik Trautman,2016
Omgrofl,.omgrofl,,Juraj Borza,2006
Opa,.opa,,MLstate,2013
Opal,.opal,, Technical University of Berlin,1994
Open Policy Agent,.rego,,Tim Hinrichs,
OpenCL,.cl|.opencl,opencl,Khronos Group,2009
OpenEdge ABL,.p|.cls|.w,,Progress Software Corporation (PSC),1981
OpenQASM,.qasm,, IBM's Quantum Information Software Kit ,2017
OpenSCAD,.scad,,Marius Kintel,
Ox,.ox|.oxh|.oxo,,Jurgen Doornik,2011
Oxygene,.oxygene,,RemObjects Software,2005
Oz,.oz,oz,Gert Smolka,1991
P4,.p4,,Nick McKeown,2013
PHP,.php|.aw|.ctp|.fcgi|.inc|.php3|.php4|.php5|.phps|.phpt,php,Rasmus Lerdorf,1994
PL/SQL,.pls|.bdy|.ddl|.fnc|.pck|.pkb|.pks|.plb|.plsql|.prc|.spc|.sql|.tpb|.tps|.trg|.vw,plsql,Oracle Corporation,1986
PLpgSQL,.pgsql|.sql,,Jan Wieck,1998
POV-Ray SDL,.pov|.inc,,David Kirk Buck|Aaron A. Collins|Alexander Enzmann,1991
Pan,.pan,,,2011
Papyrus,.psc,,Commissariat à l'Énergie Atomique (CEA-List)|Atos|Cedric Dumoulin (LIFL),1973
Parrot,.parrot,,Perl community,2016
Parrot Assembly,.pasm,,David J. Wheeler,2003
Parrot Internal Representation,.pir,,,2003
Pascal,.pas|.dfm|.dpr|.inc|.lpr|.pascal|.pp,pascal,Niklaus Wirth,1970
Pawn,.pwn|.inc|.sma,,,1999
Pep8,.pep,,Guido van Rossum,2009
Perl,.pl|.al|.cgi|.fcgi|.perl|.ph|.plx|.pm|.psgi|.t,perl,Larry Wall,1987
Pic,.pic|.chem,markup,General Instrument',1988
Pickle,.pkl,,,1995
PicoLisp,.l,,Alexander Burger,1988
PigLatin,.pig,,Yahoo Research|Apache Software Foundation,2006
Pike,.pike|.pmod,,Fredrik Hübinette,1994
PlantUML,.puml|.iuml|.plantuml,,Arnaud Roques,2009
PogoScript,.pogo,,Philippe Mougin,2011
Pony,.pony,,Sylvan Clebsch,1973
PostCSS,.pcss|.postcss,markup,Andrey Sitnik|Ben Briggs|Bogdan Chadkin,2013
PostScript,.ps|.eps|.epsi|.pfa,markup,Adobe Systems,1982
PowerBuilder,.pbt|.sra|.sru|.srw,,Powerscript,1992
PowerShell,.ps1|.psd1|.psm1,powershell,Microsoft,2006
Prisma,.prisma,,Alexey Moiseenkov,2016
Processing,.pde,processing,Casey Reas|Ben Fry,2001
Proguard,.pro,,Eric P.F. Lafortune,2019
Prolog,.pl|.pro|.prolog|.yap,prolog,Alain Colmerauer|Robert Kowalski,1973
Propeller Spin,.spin,,Abhishek Desai,2006
Pug,.jade|.pug,markup,,2005
Puppet,.pp,puppet,Luke Kanies,2005
PureBasic,.pb|.pbi,purebasic,Fantaisie Software,1998
PureScript,.purs,purescript,Evan Czaplicki,2013
Python,.py|.cgi|.fcgi|.gyp|.gypi|.lmi|.py3|.pyde|.pyi|.pyp|.pyt|.pyw|.rpy|.smk|.spec|.tac|.wsgi|.xpy,python,Guido van Rossum,1991
Q#,.qs,,Microsoft Research,2000
QML,.qml|.qbs,qml,Qt Project,2009
QMake,.pro|.pri,,Trolltech|Nokia|Qt Project|Digia|The Qt Company,2010
Qt Script,.qs,,C++,2008
R,.r|.rd|.rsx,r,Ross Ihaka|Robert Gentleman,1993
RAML,.raml,markup,Uri Sarid,2013
REALbasic,.rbbas|.rbfrm|.rbmnu|.rbres|.rbtbar|.rbuistate,,Geoff Perlman,1996
REXX,.rexx|.pprx|.rex,,Mike Cowlishaw,1979
RPC,.x,,Bruce Jay Nelson,1970
RUNOFF,.rnh|.rno,markup,Joe Ossanna,1959
Racket,.rkt|.rktd|.rktl|.scrbl,racket,Matthias Felleisen,1995
Ragel,.rl,,Adrian Thurston,2017
Raku,.6pl|.6pm|.nqp|.p6|.p6l|.p6m|.pl|.pl6|.pm|.pm6|.t,,Larry Wall,2015
Rascal,.rsc,,Konrad Zuse,2013
Reason,.re|.rei,reason,Jordan Walke,2016
Rebol,.reb|.r|.r2|.r3|.rebol,,Carl Sassenrath,1997
Red,.red|.reds,,Konrad Zuse,1950s
Redcode,.cw,,D. G. Jones|A. K. Dewdney,1984
Ren'Py,.rpy,renpy,Tom 'PyTom' Rothamel,2004
RenderScript,.rs|.rsh,,Google,2011
Rich Text Format,.rtf,markup,Microsoft,1987
Ring,.ring,,Mahmoud Fayed,2009
Riot,.riot,markup,Riot Games,2006
RobotFramework,.robot,robotframework,PyCharm,2008
Roff,.roff|.1|.1in|.1m|.1x|.2|.3|.3in|.3m|.3p|.3pm|.3qt|.3x|.4|.5|.6|.7|.8|.9|.l|.man|.mdoc|.me|.ms|.n|.nr|.rno|.tmac,markup,Joe Ossanna,1973
Roff Manpage,.1|.1in|.1m|.1x|.2|.3|.3in|.3m|.3p|.3pm|.3qt|.3x|.4|.5|.6|.7|.8|.9|.man|.mdoc,markup,Joe Ossanna,1971
Rouge,.rg,,Dennis Ritchie,2012
Ruby,.rb|.builder|.eye|.fcgi|.gemspec|.god|.jbuilder|.mspec|.pluginspec|.podspec|.rabl|.rake|.rbi|.rbuild|.rbw|.rbx|.ru|.ruby|.spec|.thor|.watchr,ruby,Yukihiro Matsumoto,1995
Rust,.rs|.rs.in,rust,Graydon Hoare,2010
SAS,.sas,sas,Anthony James Barr,1976
SCSS,.scss,markup,Hampton Catlin,2006
SMT,.smt2|.smt,,,2003
SPARQL,.sparql|.rq,sparql,W3C,2008
